strain,Gene,ratio_result_nq:06_12_12_12:0428-0027:0.022806:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:06_12_14_46:0986-0033:0.035816:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:06_12_21_63:0329-0187a:0.002197:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_01_18_94:0109-0187:0.0424:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_01_24_30:0443-0269:0.128823:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_02_06_64:0850-0284:0.11164:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_02_23_23:0850-0259:0.0409225:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_12_04_5-5:3492-0019:0.172:mM::::5_20:heho_060929_012807:YPD pH7,ratio_result_nq:08_01_10_6-21:1315-0399:0.119:mM::::5_20:heho_060929_012807:YPD pH7,ratio_result_nq:08_03_25_8-53:0958-0254:0.0926:mM::::5_20:heho_060929_012807:YPD pH7,ratio_result_nq:08_06_04_9-84:1120-0002:2.07:uM::::5_20:heho_060929_012807:YPD pH7,essential,zygosity
YER165W,PAB1,0.615845,0.248009,-0.390408,-0.0620885,0.0589999,0.575657,2.75631,-0.615964,0.49646,0.243103,-0.372087,yes,het
YER166W,DNF1,0.040756,0.066068,0.129525,0.136989,0.0622869,-0.0178973,-0.212201,0.554534,0.40508,-0.180652,0.203685,no,hom
YER167W,BCK2,0.292653,0.0841402,0.235794,-0.0101594,-0.0868051,0.336972,0.825204,0.0811909,-0.0816533,-0.180685,-0.337408,no,hom
YER168C,CCA1,-0.071847,0.0923387,0.186437,-0.165579,0.021859,0.22269,0.333715,0.0431202,0.0189873,0.164326,-0.416142,yes,het
YER169W,RPH1,0.147362,0.0748684,-0.0133317,-0.289195,-0.346477,-0.354488,0.85332,-0.265302,-0.179864,0.252395,-0.0268354,no,hom
YER170W,ADK2,0.0238629,0.0393341,-0.0893268,-0.0537153,-0.0116741,-0.122195,0.0596308,0.0564986,0.106134,-0.121779,0.0609586,no,hom
YER171W,RAD3,-0.075851,0.00739185,0.0374848,-0.104554,0.0589432,0.114735,-0.127239,-0.0567394,0.0263303,-0.0355997,-0.461637,yes,het
YER172C,BRR2,-0.0605671,-0.0908507,-0.0335638,0.0113731,0.0578301,-0.0744764,0.178211,0.0267514,-0.0601422,-0.0426425,0.0961961,yes,het
YER173W,RAD24,-0.312123,-0.107639,-0.161977,-0.371471,-0.265007,0.0885023,-0.187286,0.0425119,-0.0213925,-0.24757,0.0600565,no,hom
YER174C,GRX4,-0.258942,-0.0852676,-0.265389,-0.282994,-0.0784422,-0.0732171,-0.0025086,0.107725,0.060216,0.00133237,0.0181276,no,hom
YER175C,TMT1,-0.00604014,0.204061,-0.228255,-0.0258757,-0.157566,0.0197148,-0.0852511,0.192677,0.0124228,0.0748928,-0.205658,no,hom
YER175W-A,YER175W-A,-0.230099,0.174941,0.0649536,0.0714484,0.085011,0.00189341,0.043752,-0.19037,0.00972196,-0.122271,0.0491274,no,hom
YER176W,ECM32,-0.0386775,-0.0135816,-0.0400822,0.0734978,-0.0512623,-0.00431386,-0.00798908,-0.0797723,0.0957466,0.238269,-0.056642,no,hom
YER177W,BMH1,-0.0209466,0.0130483,-0.10741,-0.0520807,-0.128096,-0.0982652,-0.439941,0.106049,-0.199232,0.0936382,0.492524,no,hom
YER178W,PDA1,-0.238019,-0.228388,-0.0351102,-0.0176814,-0.0469512,-0.120118,-0.067226,-0.0789723,-0.160984,-0.0192245,0.228739,no,hom
YER179W,DMC1,-0.154016,-0.0310127,-0.127289,-0.0393218,-0.0121068,-0.0367837,-0.0884386,-0.0351104,-0.0755602,-0.192779,0.10549,no,hom
YER180C,ISC10,-0.231577,-0.0483046,-0.0526453,-0.0298113,0.0953768,0.0366069,-0.00587509,0.0885615,0.0386562,-0.0298078,-0.0966261,no,hom
YER180C-A,SLO1,-0.374414,-0.0818931,-0.170414,-0.0931363,-0.107658,0.0942654,-0.173657,0.0166148,-0.0737385,0.253462,0.0715453,no,hom
YER181C,YER181C,-0.11294,-0.110088,-0.0809248,-0.0541592,-0.310814,0.0724143,0.0290971,0.100774,0.0501273,-0.0877604,-0.0454035,no,hom
YER182W,FMP10,-0.182857,-0.122286,-0.210544,-0.0935661,-0.0793137,0.0758657,0.121116,-0.169644,0.0566958,-0.250011,-0.273834,no,hom
YER183C,FAU1,0.0697716,-0.124447,-0.0800621,-0.0982647,0.0849656,-0.0724099,-0.0680186,0.0448017,0.155659,0.0166356,-0.22408,no,hom
YER184C,YER184C,-0.104724,-0.059628,-0.0659764,-0.0704522,0.00481336,0.0775689,-0.0471278,-0.180945,0.0352016,0.0672826,-0.0171893,no,hom
YER185W,PUG1,-0.0389819,-0.0311937,-0.0845945,-0.150055,-0.0321187,-0.0138478,-0.0787601,0.177848,0.0840371,0.0387662,-0.0493123,no,hom
YER186C,YER186C,0.0754433,-0.0496046,-0.142656,-0.192127,-0.0954263,-0.101491,0.0490118,-0.0212458,-0.0701291,0.0604453,0.051733,no,hom
YER186W-A,YER186W-A,-0.149788,0.00387163,-0.0600993,0.0342427,-0.164095,0.0510694,-0.279419,-0.098568,0.0171581,-0.0259794,-0.132221,no,hom
YER187W,YER187W,0.0373508,-0.0491496,-0.0246879,-0.0158395,-0.112233,-0.141296,-0.083316,-0.126848,-0.105703,-0.0517466,-0.0772937,no,hom
YER188W,YER188W,0.0459167,0.175412,0.0242102,0.144188,0.0918109,-0.0173577,0.100569,-0.188322,0.345144,0.262966,-0.0461641,no,hom
YFL001W,DEG1,-0.326931,-0.231629,-0.0401795,0.151772,0.309788,0.0341552,-0.221441,-0.198121,-0.10547,0.125355,0.0549953,no,hom
YFL002C,SPB4,0.704419,-0.0139541,0.456784,-0.400487,0.044706,0.119555,1.74325,-1.30164,0.365373,-0.248635,-1.56017,yes,het
YFL003C,MSH4,-0.024797,-0.0542479,0.0417032,-0.12712,-0.00854326,-0.0677984,0.10182,0.194873,0.0161854,0.0025878,0.0544728,no,hom
YFL004W,VTC2,0.0703102,0.08472,0.119717,-0.0184486,0.129125,0.109176,0.103705,0.104308,0.00637002,0.0601803,-0.0721482,no,hom
YFL005W,SEC4,-0.171916,-0.0236574,0.082692,0.152615,0.109284,0.0521214,-0.4851,0.70359,-0.052896,-0.00629034,0.0471374,yes,het
YFL006W,YFL006W,-0.338424,-0.0149902,0.150704,0.00654822,-0.00909104,-0.0692613,-0.0677266,0.207257,-0.0551579,0.00484254,0.06053,no,hom
YFL007W,BLM10,-0.0417388,0.0288311,0.00623694,0.0464284,0.0942412,-0.087591,0.171995,0.288957,-0.0270086,-0.239298,0.0349348,no,hom
YFL008W,SMC1,-0.000513078,0.255281,-0.0298437,-0.134357,-0.0643472,-0.0643472,0.164991,0.598388,0.0109883,-0.106394,-0.00487986,yes,het
YFL009W,CDC4,0.0116028,0.108315,0.0123348,-0.0965995,-0.0218628,-0.0533067,-0.0155515,0.380826,0.109915,-0.0989533,-0.0939315,yes,het
YFL010C,WWM1,0.106939,0.0599102,-0.00912957,0.037605,0.021447,0.0091082,0.184148,0.0987118,0.151666,-0.131033,0.0351555,no,hom
YFL010W-A,AUA1,-0.00923289,-0.0628783,-0.00893444,0.0552699,0.021944,0.0556078,-0.0995722,0.12417,-0.0994232,-0.106206,-0.0696146,no,hom
YFL010W-A,AUA1,0.202223,0.0613149,-0.0316441,-0.0256871,0.0428162,-0.143149,0.123709,0.0841526,-0.0318668,0.0608665,0.0599217,no,hom
YFL011W,HXT10,0.248641,0.13422,0.0902045,0.00302178,0.0977604,-0.138706,0.0399598,0.464705,0.227727,0.0776375,0.077601,no,hom
YFL012W,YFL012W,-0.0342687,-0.165966,0.0420228,0.0377003,0.339994,-0.199709,0.143979,0.225898,0.327742,0.178799,0.0502281,no,hom
YFL013C,IES1,-0.090465,-0.254438,0.0861448,-0.320487,0.295886,-0.187618,-0.0716585,-0.352312,0.0874352,-0.18472,0.109566,no,hom
YFL013W-A,YFL013W-A,0.052608,-0.0739723,0.0331969,-0.138483,0.0971702,-0.157331,0.23932,-0.0649368,0.121818,-0.00408224,0.0720092,no,hom
YFL014W,HSP12,-0.00695844,-0.0710774,-0.00584241,-0.247878,-0.0850408,-0.00748745,-0.0456987,0.197414,-0.0556812,-0.120437,-0.0493567,no,hom
YFL015C,YFL015C,-0.0533824,-0.0651218,-0.0487007,0.112745,0.143502,0.0421694,0.00614597,0.0555297,0.0409411,0.0236621,-0.094283,no,hom
YFL016C,MDJ1,-0.190224,-0.121823,0.00170611,-0.0212003,0.218027,-0.305805,-0.0144423,-0.274168,0.129841,-0.264341,0.416198,no,hom
YFL017C,GNA1,0.121346,0.0323066,0.0145603,0.0834159,0.0811029,0.0292862,0.0333238,0.0485665,0.0949598,-0.0510822,0.320575,yes,het
YFL018C,LPD1,-0.162772,-0.238344,0.268827,-0.0307266,-0.0377013,-0.196975,-0.159859,0.013089,-0.066378,-0.133904,0.35961,no,hom
YFL018W-A,YFL018W-A,0.177563,-0.00956321,0.0433298,-0.0533903,-0.0957005,0.0979672,0.0241668,0.0490712,0.209084,-0.0850271,0.123305,,het
YFL019C,YFL019C,0.0574279,-0.0290501,-0.226836,-0.203403,0.260475,-0.0893062,-0.0274781,0.434974,-0.0974832,0.306543,0.110243,no,hom
YFL020C,PAU5,0.0282576,-0.03291,0.101686,-0.0374165,0.00826308,-0.127115,0.0824668,0.263116,0.0192769,0.124086,0.176407,no,hom
YFL021W,GAT1,0.00904599,-0.106986,0.0590345,0.0666172,0.107702,-0.224958,0.12556,0.946819,0.0216825,-0.0971863,0.0892785,no,hom
YFL022C,FRS2,0.0802145,-0.143774,-0.0742603,-0.0862037,0.133849,-0.187051,0.489928,0.270105,0.159398,-0.255305,0.433737,yes,het
YFL023W,BUD27,0.849939,0.26805,0.72374,-0.0151558,0.32301,-0.0215438,-0.740443,0.0330659,0.328799,-0.245724,-0.147488,no,hom
YFL024C,EPL1,-0.00746935,0.0507872,-0.0459218,-0.0203371,0.244317,-0.134007,0.258214,0.755555,-0.114766,-0.0928355,-0.132606,yes,het
YFL025C,BST1,-0.0481359,-0.133291,0.40039,0.15026,0.371308,0.121637,1.06365,2.56648,0.0393413,0.0307229,0.196031,no,hom
YFL026W,STE2,0.101793,-0.275235,-0.0362129,0.190274,0.218897,-0.0204409,0.106937,0.305617,0.24867,0.0281175,0.00843778,no,het
YFL027C,GYP8,-0.0181733,-0.0980996,0.070554,-0.159245,-0.110829,-0.0713579,-0.0382826,0.0835188,0.0775403,-0.00826735,-0.0540213,no,hom
YFL028C,CAF16,-0.131551,-0.0455816,-0.0308936,-0.10663,-0.0925393,-0.0101194,0.0181135,0.0803887,-0.0653327,-0.000264229,-0.0734685,no,hom
YFL029C,CAK1,0.0530141,0.0590445,0.0692343,0.232166,0.0491613,0.0104217,0.365195,-0.174184,0.078356,-0.0798908,-0.19459,yes,het
YFL030W,AGX1,-0.0283161,-0.0138164,0.0632858,-0.0269077,-0.102962,0.0595752,-0.0320718,0.0176881,-0.0389517,-0.0291664,-0.0630903,no,hom
YFL031W,HAC1,4.03815,-0.0361637,-0.0282295,-0.0491321,0.111553,-0.019685,0.0379067,0.15925,0.0289231,-0.0309572,0.08027,no,hom
YFL031W,HAC1,3.4384,0.0654321,0.0506634,-0.131429,-0.143215,0.113053,-0.101872,-0.00278885,0.0980761,0.0886176,0.232024,no,hom
YFL032W,YFL032W,3.08617,0.019481,-0.0270873,-0.0744365,-0.079845,-0.0155305,0.228032,0.422985,-0.0191456,-0.168318,0.0926089,no,hom
YFL033C,RIM15,0.0763286,0.00741,0.042332,0.0114592,0.144139,-0.0723362,-0.0253685,0.31906,-0.0414208,-0.0422195,0.00634526,no,hom
YFL034C-A,RPL22B,-0.375169,-0.167996,0.00953468,-0.230488,-0.192769,0.125609,-0.158925,-0.0469407,0.100731,-0.104809,0.0890681,no,hom
YFL034W,YFL034W,-0.0579636,-0.100287,0.0285085,-0.132904,-0.0334741,-0.166358,-0.252443,-0.0638836,-0.0388412,-0.0781164,-0.141026,no,hom
YFL035C,YFL035C,-0.00668029,0.089296,0.0589088,0.435168,0.203898,-0.0543882,-0.518751,-0.120796,,,,,het
YFL035C-A,YFL035C-A,0.0597372,0.0246282,-0.00285597,0.0703471,0.20035,-0.1431,-0.0397751,0.185155,0.251913,-0.168239,0.255068,,het
YFL035C-B,YFL035C-B,-0.0358016,-0.00427244,-0.0213215,-0.029865,-0.0140221,-0.0246204,0.0235641,0.0148585,-0.00205031,0.0774895,-0.0541663,,hom
YFL036W,RPO41,-0.509431,-0.254254,-0.0156145,-0.917509,0.0168826,0.153219,0.307157,0.0549586,0.151442,-0.0934207,0.709302,no,hom
YFL037W,TUB2,0.198743,0.0270799,-0.0247038,0.0464654,0.249157,-0.127862,0.457342,0.12359,0.0316496,0.0893164,0.265992,yes,het
YFL038C,YPT1,-0.179083,0.0943469,0.11001,0.132521,-0.106441,0.423949,-0.110127,0.189349,0.000649377,0.177291,0.0567661,yes,het
YFL039C,ACT1,-0.609328,-0.586211,-0.365407,0.108524,0.0912653,0.0666547,-1.40416,0.611736,0.360177,0.471996,-0.918722,yes,het
YFL040W,YFL040W,-0.0533025,0.0307711,0.11765,-0.0695649,0.0688758,-0.00126177,0.0369815,0.119531,-0.0147623,0.00314313,0.000989926,no,hom
YFL041W,FET5,-0.150149,-0.0255687,-8.03E-05,-0.0533036,-0.0572713,-0.0161538,-0.00181728,0.0813242,-0.0778612,-0.0809768,-0.0248528,no,hom
YFL041W-A,YFL041W-A,-0.213976,-0.0887166,0.00905367,-0.177167,-0.0524668,-0.0907222,-0.0682647,0.114805,0.141712,-0.0282285,0.148319,no,hom
YFL042C,YFL042C,-0.0305708,0.00166026,0.00271271,0.0040002,-0.0156645,0.0109518,-0.0603542,0.259125,-0.175398,-7.33E-05,-0.0268684,no,hom
YFL042C,YFL042C,-0.139139,-0.0355498,-0.0399843,-0.14778,0.273723,0.0484508,0.00553582,0.00955097,-0.00228592,0.0441755,0.0217817,no,hom
YFL043C,YFL043C,-0.106132,-0.0656774,0.0108178,-0.0157006,0.00529465,-0.0548926,-0.0816146,0.0520826,-0.135603,-0.109728,0.0874827,no,hom
YFL044C,OTU1,0.0296764,-0.0481957,0.0585558,0.0589753,0.0646223,-0.0806866,0.0780178,0.177745,0.165097,-0.0058496,0.0480505,no,hom
YFL045C,SEC53,-0.255352,0.300887,0.0252286,-0.099848,0.210388,0.074819,-0.191489,0.0346898,0.062906,0.218664,0.157977,yes,het
YFL046W,FMP32,-0.150014,-0.167787,0.0444678,-0.0466758,-0.0203056,-0.0380673,0.0403978,-0.00562225,-0.1166,-0.0979963,0.216042,no,hom
YFL047W,RGD2,-0.10447,-0.0711018,0.0617236,-0.0850189,-0.0350727,0.0155374,-0.0345962,0.102968,-0.0653391,-0.119272,-0.120522,no,hom
YFL048C,EMP47,0.193051,0.00734201,0.0074338,-0.0660472,0.103571,-0.0996773,0.13479,0.205232,-0.0126833,0.0357561,0.102768,no,hom
YFL049W,SWP82,0.130099,0.0365754,0.301633,0.097824,0.0240957,-0.0636936,0.15903,0.00893043,0.125542,0.0137078,-0.143718,no,hom
YFL050C,ALR2,-0.0342308,-0.252377,0.104496,-0.203069,-0.110228,-0.139954,-0.0211775,-0.0421239,-0.0997753,-0.263903,-0.0876157,no,hom
YFL051C,YFL051C,-0.00760199,-0.0372146,0.0658626,0.0692318,0.0730796,-0.0889342,0.0554963,0.0126137,0.0869279,-0.144663,-0.0235392,no,hom
YFL052W,YFL052W,-0.0337153,-0.0509512,0.0652074,-0.0612515,-0.0381875,-0.00675185,-0.0284154,-0.00768743,-0.0341996,0.032444,-0.0467653,no,hom
YFL053W,DAK2,-0.0787848,-0.0937368,0.148265,-0.216704,0.00792653,0.0663343,-0.0983272,-0.171227,-0.0269908,-0.0572486,-0.100287,no,hom
YFL054C,YFL054C,-0.302716,-0.176172,0.0213419,-0.208394,-0.0125517,-0.0105465,-0.0366892,0.127646,-0.089898,-0.163082,0.0163801,no,hom
YFL055W,AGP3,-0.126492,-0.140164,0.056821,-0.228254,-0.0564183,-0.123707,0.0119814,0.457111,-0.048909,-0.204258,0.0616785,no,hom
YFL056C,AAD6,-0.0536541,-0.0649061,-0.00139399,-0.0387884,-0.14366,0.00715623,0.423177,-0.133837,-0.0326356,-0.124685,0.0341472,no,hom
YFL063W,YFL063W,0.00630061,-0.00295069,-0.0194822,-0.0278673,-0.0132453,0.030307,0.108245,0.00346527,0.00629973,0.00765658,-0.118096,no,hom
YFR001W,LOC1,-0.630026,0.716129,-0.314023,-0.485466,-0.445991,-0.251138,-1.16892,-1.14254,-0.465556,0.136104,-0.481409,no,hom
YFR002W,NIC96,-0.325163,0.0726368,-0.264353,0.0618694,-0.294754,-0.116363,0.115598,-0.0372771,-0.137649,-0.405051,-0.246031,yes,het
YFR003C,YPI1,-0.513964,-0.149844,0.195174,-0.07377,0.0487164,0.208092,-0.547941,0.0367166,0.00564919,0.0141682,0.132385,yes,het
YFR004W,RPN11,-0.417934,-0.355762,0.0220123,-0.175368,-0.0149,-0.0810386,-0.250626,-0.356477,0.0750705,-0.211678,-0.362144,yes,het
YFR005C,SAD1,0.0996973,-0.155169,-0.0420322,-0.140424,-0.136837,-0.163113,0.632066,-0.0711632,-0.0413281,-0.172885,0.0790239,yes,het
YFR006W,YFR006W,0.081058,0.0315851,0.141805,0.0263139,0.132942,-0.051851,-0.0192145,-0.0525019,0.0514614,-0.213793,-0.0203121,no,hom
YFR007W,YFH7,0.163769,-0.0628304,0.0415523,-0.107059,-0.0354251,0.020851,0.310547,0.0287969,-0.0632877,-0.0793512,-0.00606979,no,hom
YFR008W,FAR7,-0.0570855,-0.110997,0.0261888,0.11993,-0.0269641,0.0292862,0.283699,-0.254982,-0.0985532,-0.0669691,-0.0254163,no,hom
YFR009W,GCN20,-0.001789,0.320415,-0.0654895,-0.0238314,-0.0262893,0.0619589,-0.0362514,-0.154256,-0.0294286,-0.0529949,-0.0382974,no,hom
YFR010W,UBP6,-0.385605,-0.478396,-0.35941,-0.427983,-0.036201,-0.0748871,0.316623,-0.418581,-0.0540536,-0.0835435,-0.155839,no,hom
YFR011C,AIM13,0.054066,-0.0135898,0.0410756,0.143677,0.0516071,0.00277932,-0.0111701,-0.0780841,-0.0136106,0.103017,-0.0472421,no,hom
YFR012W,YFR012W,0.181526,0.00502269,0.0899421,-0.012567,-0.0884738,0.0201491,-0.140095,0.133077,-0.0830788,-0.092435,-0.147945,no,hom
YFR012W-A,YFR012W-A,-0.15317,0.00950742,0.0191885,-0.124041,-0.0992981,-0.0175615,0.0345256,-0.147235,-0.154739,0.133175,-0.112894,no,hom
YFR013W,IOC3,-0.168079,-0.0730815,-0.289582,0.177304,0.277405,-0.0260202,-0.292405,-0.318655,0.217871,0.492195,0.297197,no,hom
YFR014C,CMK1,0.00337831,-0.0584958,0.118877,-0.130401,0.00522376,0.00101392,0.0418409,0.0861647,0.024852,-0.0502132,-0.0220402,no,hom
YFR015C,GSY1,-0.0529753,0.0837079,0.000355391,-0.144785,-0.0565242,0.125403,-0.00232261,-0.000488126,-0.0810215,-0.0916963,0.0090137,no,hom
YFR016C,YFR016C,-0.0442969,-0.0760691,0.0671471,-0.108772,-0.048469,-0.0182391,0.138585,0.0276998,-0.00464048,-0.0449602,-0.0759952,no,hom
YFR017C,YFR017C,-0.0941221,0.122176,-0.0242093,-0.105344,-0.0309345,0.133098,-0.0575197,0.0820777,-0.0372157,-0.0497286,-0.0532372,no,hom
YFR018C,YFR018C,0.110436,-0.0895489,0.00871367,-0.149139,-0.336001,-0.176873,0.829983,0.123861,-0.0214741,-0.066264,0.180933,no,hom
YFR019W,FAB1,0.54509,0.208764,0.115072,0.156281,-0.0933849,-0.0933849,0.139252,-1.08676,-0.0874085,-0.525863,-0.513819,no,hom
YFR020W,YFR020W,-0.0627531,0.00523717,0.0693321,-0.0339686,0.0251484,0.111494,-0.149777,0.12712,0.104371,0.092408,-0.0597638,no,hom
YFR021W,ATG18,0.138873,-0.0972469,-0.132605,-0.0443261,0.039379,0.0313268,-0.027487,-0.0115474,0.0817127,-0.0319171,0.0226827,no,hom
YFR022W,ROG3,0.0729643,-0.0950093,0.00194455,-0.16615,-0.0274002,-0.0517678,0.150384,0.0536654,-0.194308,-0.106763,0.018771,no,hom
YFR023W,PES4,-0.0351668,-0.0192959,0.0563121,-0.0975202,-0.0112894,0.0524122,0.0496672,-0.0449217,-0.101877,0.0124682,0.0522701,no,hom
YFR024C,YFR024C,0.197097,-0.154682,-0.0829798,-0.0412176,0.0882623,0.0415127,-0.0169382,0.00143384,-0.0346138,-0.0780802,-0.0807838,no,hom
YFR024C-A,LSB3,-0.0666721,-0.0527695,0.083854,-0.315065,-0.192363,-0.0331955,-0.224814,-0.370827,0.0348895,0.062916,0.0224383,no,hom
YFR025C,HIS2,0.0537693,-0.00337058,-0.088514,-0.0713631,0.00421122,-0.0162045,-0.0484573,0.00620138,0.00786458,0.000702801,0.0338249,no,hom
YFR026C,YFR026C,-0.122803,-0.107091,0.0365519,-0.120537,-0.00569683,0.0129201,-0.0673578,0.00828057,-0.0534745,-0.0184098,0.0350248,no,hom
YFR027W,ECO1,0.146578,0.0842208,-0.00577088,0.0174597,0.0193743,0.0968967,0.181805,0.0169295,-0.00959842,0.0728086,0.265833,yes,het
YFR028C,CDC14,-0.136943,0.162497,0.0253088,-0.20414,-0.072231,0.0496038,-0.171517,0.00319527,-0.063071,-0.102915,0.0306069,yes,het
YFR029W,PTR3,-0.0636125,-0.111128,0.176518,-0.101363,0.224102,-0.0114231,0.0689145,-0.0952043,-0.121552,-0.0761566,0.0562795,yes,het
YFR030W,MET10,-0.297953,-0.218733,-0.306097,0.040992,-0.147792,-0.0141634,-0.25481,-0.324534,0.197784,-0.0860077,0.300815,no,hom
YFR031C,SMC2,0.0591441,-0.00297683,0.0343559,-0.155342,0.0576777,0.00543531,-0.0899933,0.079116,0.0451735,0.0552879,0.0919562,yes,het
YFR031C-A,RPL2A,-0.143281,-0.0695078,0.00241943,-0.217086,-0.0522124,-0.10821,-0.366971,-0.346065,-0.140574,-0.189993,-0.105056,no,hom
YFR032C,YFR032C,-0.202174,-0.069665,-0.267683,-0.174198,0.25296,-0.214206,-0.196259,-0.0181306,0.244684,0.17557,0.144749,no,hom
YFR032C-A,RPL29,-0.2229,-0.0762585,-0.287998,-0.190908,-0.0630248,-0.283031,-0.73527,-0.585762,-0.223186,-0.518393,0.250152,no,hom
YFR032C-B,YFR032C-B,-0.0304556,-0.351719,-0.298875,-0.36257,-0.22835,-0.651804,0.288986,-0.461983,-0.126688,-0.0700506,-0.108168,no,hom
YFR033C,QCR6,0.07333,0.0466966,-0.133496,0.0671913,0.0317361,0.0905513,0.0451819,0.201883,-0.0971576,-0.197165,0.107099,no,hom
YFR034C,PHO4,0.148788,1.07818,1.48365,-0.0613928,0.598503,0.549591,0.0737932,-1.10342,0.669128,0.1713,-0.25798,no,hom
YFR035C,YFR035C,0.0465622,-0.134849,-0.108123,-0.094188,-0.102273,-0.0341787,-0.144147,0.039952,0.0934401,0.285477,0.506631,no,hom
YFR036W,CDC26,-0.121387,-0.222515,0.177271,-0.169218,0.623942,-0.00841587,-0.0835985,-0.498467,-0.124167,-0.051375,0.0432273,no,hom
YFR037C,RSC8,3.70829,-0.431608,-0.367544,-0.475907,-0.406304,0.133441,3.75998,-0.197342,0.457444,0.313555,1.04321,yes,het
YFR038W,IRC5,-0.1399,-0.0358629,-0.0169384,-0.0978421,-0.0137137,0.0723317,-0.0968825,-0.117816,-0.0209103,0.0373819,0.0260265,no,hom
YFR038W,IRC5,-0.0602443,0.228395,-0.437663,-0.105243,-0.0187296,0.20822,-0.110955,-0.554452,-0.15192,-0.150486,-0.133788,no,hom
YFR039C,YFR039C,-0.20486,0.0264942,-0.0728932,-0.127159,-0.00616696,0.0568389,-0.0157129,0.00704895,-0.0651192,-0.17565,-0.0150593,no,hom
YFR040W,SAP155,0.386439,-0.230391,-0.0125386,-0.145323,-0.0887863,-0.199318,-0.123087,0.584165,-0.243696,-0.387718,0.322847,no,hom
YFR041C,ERJ5,-0.180651,-0.183921,-0.299413,-0.189625,-0.0173106,0.0588188,0.112718,-0.0828019,0.120351,0.0896299,0.132593,no,hom
YFR042W,KEG1,-0.0520454,0.0614335,0.0684866,-0.163917,-0.0058794,0.0821207,-0.0025708,0.033183,-0.00644212,0.0657477,-0.0531871,yes,het
YFR043C,IRC6,-0.224653,-0.167682,-0.329606,-0.212282,0.0165638,-0.00990506,-0.0478942,0.0919741,0.0962661,-0.256106,0.512799,no,hom
YFR044C,DUG1,-0.105761,-0.0890544,-0.24037,0.0420642,-0.0584202,-0.116929,-0.0557301,-0.28482,0.00894405,-0.0756279,0.246612,no,hom
YFR045W,YFR045W,,,,,,,,,,,,no,hom
YFR045W,YFR045W,-0.178426,0.00909477,-0.192639,-0.167742,-0.160214,0.097654,-0.123685,-0.0440565,0.0221876,0.0617136,0.0206261,no,hom
YFR046C,CNN1,-0.00859655,0.124131,-0.0257796,-0.167043,-0.22057,-0.121967,0.163922,0.0731808,0.126969,0.0811675,0.0602636,no,hom
YFR047C,BNA6,-0.117285,0.0468023,-0.0791941,-0.122064,-0.00196188,0.00714056,0.0214439,-0.0416308,0.0442416,0.198567,-0.0299792,no,hom
YFR048W,RMD8,-0.0219894,-0.196596,-0.164273,0.0253391,-0.074363,0.0206923,0.0407851,-0.160659,-0.0451811,-0.206391,-0.0328278,no,hom
YFR049W,YMR31,0.195311,-0.129876,0.15748,0.179967,-0.0882961,-0.160102,-0.152545,0.240098,0.127428,-0.0800944,-0.165116,no,hom
YFR050C,PRE4,-0.905698,0.299861,0.229451,-0.0524439,0.31512,0.290893,-0.317213,0.0785911,0.110868,-0.0528419,-1.03725,yes,het
YFR051C,RET2,-0.0611673,-0.0851512,-0.0819957,-0.120415,-0.00776827,0.266262,0.0443693,0.159336,0.0507203,0.0542262,-0.040893,yes,het
YFR052W,RPN12,-0.14224,-0.21414,-0.0685052,-0.128232,-0.0795293,-0.0967298,-0.248127,-0.236496,-0.0112032,0.0526562,0.136268,yes,het
YFR053C,HXK1,-0.0395823,-0.0191077,-0.0994769,-0.223705,-0.0367745,0.00508745,-0.0753315,0.0379827,-0.0153943,-0.01406,0.0567552,no,hom
YFR054C,YFR054C,-0.0542549,0.0641717,-0.0897197,-0.0709663,-0.0835586,0.0167783,-0.00997686,0.0681516,0.00853799,-0.0783973,-0.0998863,no,hom
YFR055W,IRC7,-0.0440797,-0.139123,-0.062248,-0.00301212,0.0874674,-0.161388,0.101259,-0.06479,-0.0904846,-0.100452,-0.318518,no,hom
YFR056C,YFR056C,-0.00466276,0.0287812,-0.125353,-0.0797979,-0.118679,0.0489759,0.0097892,-0.0197913,-0.139943,0.244473,0.0409075,no,hom
YFR057W,YFR057W,-0.334473,-0.149893,-0.244691,-0.412529,-0.318013,-0.0426862,-0.287969,0.0418811,-0.266432,-0.130116,0.0435773,no,hom
YGL001C,ERG26,-0.0367644,-0.098981,0.0227055,-0.0489498,-0.0957834,-0.0427331,-0.19245,-0.300249,-0.213126,-0.0188092,-0.0108646,yes,het
YGL002W,ERP6,-0.108658,-0.0819401,-0.0332103,-0.156184,-0.155039,-0.0335419,-0.00585071,-0.0990434,-0.0504876,-0.0498772,0.0213617,no,hom
YGL003C,CDH1,-0.206805,-0.0894871,0.197386,0.0089428,0.0557901,0.168473,0.22133,-0.323034,0.193121,0.0361488,-0.0739936,no,hom
