strain,Gene,ratio_result_nq:06_12_12_12:0428-0027:0.022806:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:06_12_14_46:0986-0033:0.035816:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:06_12_21_63:0329-0187a:0.002197:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_01_18_94:0109-0187:0.0424:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_01_24_30:0443-0269:0.128823:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_02_06_64:0850-0284:0.11164:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_02_23_23:0850-0259:0.0409225:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_12_04_5-5:3492-0019:0.172:mM::::5_20:heho_060929_012807:YPD pH7,ratio_result_nq:08_01_10_6-21:1315-0399:0.119:mM::::5_20:heho_060929_012807:YPD pH7,ratio_result_nq:08_03_25_8-53:0958-0254:0.0926:mM::::5_20:heho_060929_012807:YPD pH7,ratio_result_nq:08_06_04_9-84:1120-0002:2.07:uM::::5_20:heho_060929_012807:YPD pH7,essential,zygosity
YAL033W,POP5,-0.345579,-0.0977805,-0.00762857,0.16615,-0.0534783,0.119071,-0.188021,0.353504,0.120845,0.380212,-0.0308034,yes,het
YAL034C,FUN19,,,,,,,,,,,,no,hom
YAL034W-A,MTW1,-0.221867,0.328009,-0.0188914,0.0472225,0.0962937,0.199987,-0.0527043,-0.0574757,-0.101588,0.0589779,-0.160707,yes,het
YAL035C-A,YAL035C-A,-0.230918,0.184654,-0.0531456,0.0397479,-0.0173647,-0.0419967,-0.348228,0.306878,0.0309064,-0.0824618,-0.284039,,het
YAL035W,FUN12,,,,,,,,,,,,no,hom
YAL036C,RBG1,-0.0520517,-0.0359379,-0.141684,0.141404,-0.107875,-0.0486273,-0.104584,-0.0610132,0.167171,0.0163198,-0.0480832,no,hom
YAL037C-A,YAL037C-A,-0.08066,0.100275,-0.022024,-0.011935,-0.176526,0.0456867,-0.0887304,0.011192,0.0476488,0.186648,-0.0864517,no,hom
YAL037W,YAL037W,0.067456,0.261521,-0.233738,0.137807,0.288424,0.275206,-0.254516,-0.218317,-0.244456,0.148684,0.555108,no,hom
YAL038W,CDC19,0.122432,0.357867,0.466321,0.00163854,-0.109737,0.15619,0.41697,0.390791,0.0399077,0.296213,-0.507661,yes,het
YAL039C,CYC3,,,,,,,,,,,,no,hom
YAL040C,CLN3,-0.604431,0.0448503,-0.184107,0.266114,-0.206884,0.938441,0.479668,-0.107371,-0.142164,0.907266,0.69897,no,hom
YAL041W,CDC24,1.58786,0.549767,0.470822,0.146303,-0.327819,1.09413,0.648622,-0.919813,1.91797,0.0537268,-2.34876,yes,het
YAL042W,ERV46,0.356926,-0.136877,-0.0627593,0.084438,0.0922673,-0.0540915,-0.0100397,-0.143514,0.043559,-0.02463,-0.0625095,no,hom
YAL043C,PTA1,0.0755657,0.229733,0.144246,0.138369,0.0652377,0.0884373,0.0986944,0.192162,0.0292795,0.10429,0.998607,yes,het
YAL043C-A,YAL043C-A,0.148277,-0.0276374,-0.115384,0.0600772,0.0608522,-0.151092,0.0632791,0.121243,0.0149655,-0.0612121,-0.00248769,,hom
YAL044C,GCV3,-0.710681,-0.58036,-0.385592,-0.0747668,-0.156362,-0.11016,-0.893411,0.6508,-0.468217,-0.693439,0.157236,no,hom
YAL044W-A,YAL044W-A,0.0262179,-0.0581938,0.0124987,-0.00721995,-0.0147069,0.0213765,0.0178705,-0.0364546,0.16013,-0.100133,-0.0721434,no,hom
YAL045C,YAL045C,0.0114334,0.018995,-0.0025413,0.0360394,-0.0347873,-0.0680507,-0.062718,0.0688062,-0.0577204,-0.0349469,-0.0498366,no,hom
YAL046C,AIM1,-0.0636045,-0.0495747,-0.0960931,0.0208903,-0.052267,-0.0309411,-0.0206905,0.0739679,-0.00434896,-0.171286,-0.103703,no,hom
YAL047C,SPC72,-0.76598,0.477859,0.0881828,-0.400959,-0.110385,-0.222746,0.908175,1.34787,-0.299356,-0.242881,-0.0195205,no,hom
YAL048C,GEM1,0.0542147,0.0511079,-0.156937,0.185472,-0.1302,0.0124765,-0.195761,-0.160221,-0.122666,0.121301,-0.0561543,no,hom
YAL049C,AIM2,-0.0813301,-0.115002,-0.0251201,0.0175398,0.0631934,0.0139856,-0.0124211,-0.159363,-0.345266,-0.240622,0.0528323,no,hom
YAL049C,AIM2,-0.0468154,-0.0305949,-0.111906,-0.077695,-0.0138145,0.0870372,-0.132455,-0.0420192,-0.0120153,0.0741267,-0.162263,no,hom
YAL051W,OAF1,0.00954187,-0.108327,-0.00552841,0.0221754,-0.000693557,0.0215835,0.0272347,0.128825,0.158848,-0.0433524,-0.0655753,no,hom
YAL053W,FLC2,0.183455,-0.0192128,-0.0230477,-0.0239763,-0.00845559,-0.0363709,0.635543,0.987028,0.00750192,0.201766,-0.106599,no,hom
YAL054C,ACS1,0.0146227,-0.15646,-0.158598,-0.0355753,-0.0280834,-0.0426721,-0.00555785,0.0178635,-0.111135,-0.0591636,-0.0761359,no,hom
YAL055W,PEX22,-0.0301206,-0.0482432,-0.00705687,-0.17698,0.0375927,-0.1632,-0.0305434,0.160097,-0.0435365,0.182101,0.0608637,no,hom
YAL056W,GPB2,-0.12995,-0.109646,-0.13267,-0.0498015,-0.0390282,-0.0999465,-0.0661597,-0.101206,-0.00447755,0.0332084,-0.202718,no,hom
YAL058C-A,YAL058C-A,0.93888,-0.151721,-0.0517188,-0.127952,0.0415735,-0.056367,-0.207323,0.118921,-0.0887196,-0.218526,-0.160479,,hom
YAL058W,CNE1,0.628398,-0.159656,-0.0919135,-0.111952,-0.157618,0.0146608,-0.29572,0.16544,0.0570919,-0.196201,-0.0379547,no,hom
YAL059W,ECM1,-0.0391121,0.0298664,-0.112733,-0.157058,-0.123509,-0.0893558,-0.153834,-0.141749,-0.13187,-0.0568643,0.000325828,no,hom
YAL060W,BDH1,-0.173261,-0.0713891,-0.09914,0.0621862,-0.00866288,-0.0554854,-0.0182969,0.0275721,-0.0172741,-0.176948,-0.0895796,no,hom
YAL061W,BDH2,-0.245291,-0.0936523,-0.0681831,-0.0178628,-0.0194956,0.0380799,0.00449921,0.0154521,-0.0691566,-0.0498332,-0.0584843,no,hom
YAL062W,GDH3,-0.104949,-0.0195781,-0.0666509,-0.0352079,0.017811,-0.00842553,-0.0031875,-0.006138,0.0248657,0.0148588,0.0091303,no,hom
YAL064C-A,YAL064C-A,0.113605,0.153508,-0.200668,-0.160763,0.0503886,-0.0855904,0.276345,0.178279,0.252011,0.145098,-0.0844444,no,hom
YAL065C,YAL065C,0.0112964,-0.054889,-0.0097514,-0.12974,-0.076736,-0.00944814,0.095701,-0.0276429,0.0268739,0.0508574,-0.155676,no,hom
YAL066W,YAL066W,-0.103991,-0.105545,-0.141223,-0.495714,-0.431261,0.0710265,-0.235852,-0.0501616,0.00669606,0.0739829,-0.434127,no,hom
YAL067C,SEO1,-0.0621483,-0.116634,-0.204667,-0.0337036,-0.0548146,-0.040244,-0.139858,0.00227372,0.104821,0.0153978,0.164818,no,hom
