Genotype,Mean,n,WT Mean,WT n,% chg,p-value,Mean,n,WT Mean,WT n,% chg,p-value,Criterion
hua1,29.8,20,26.45,40,12.7,1.30E-01,31.68,25,17,45,20.9,2.00E-02,Low
hxk2,32.98,60,27.05,100,21.9,5.90E-03,32.62,605,25.93,774,25.8,<1E-13,High
idh1,32.46,220,30.4,240,6.8,5.40E-02,32.84,304,26.29,425,24.9,1.60E-14,Low
idh2,31.52,140,27.74,140,13.7,3.40E-03,30.68,595,26.65,764,15.1,4.00E-11,High
idp1,27.72,180,26.92,220,2.9,4.80E-01,29.08,165,25.15,205,15.6,2.30E-04,Low
img1,32.85,20,27.55,20,19.2,1.00E-01,33.32,25,26.62,45,25.2,2.50E-02,Low
img2,30.25,40,24.25,60,24.7,2.40E-02,28.48,25,21.36,25,33.3,7.10E-03,High
inp51,33.6,140,30.39,140,10.6,2.60E-02,30.88,350,26.97,365,14.5,1.10E-06,High
inp53,33.69,120,31.04,140,8.5,1.20E-01,31.72,235,25.99,269,22.1,4.40E-08,Low
irc21,28.45,20,23.38,40,21.7,5.70E-02,30.76,25,26.2,45,17.4,2.00E-02,Low
isw2,39.35,20,28.95,40,35.9,9.30E-03,33.07,145,28.13,145,17.6,3.70E-04,High
itr1,29.6,60,28.95,60,2.2,6.30E-01,29.58,65,25.72,65,15,1.20E-02,Low
kap120,31.93,60,29.65,60,7.7,2.10E-01,36.8,35,23.06,85,59.6,3.30E-05,Low
kip2,37.2,20,28.5,20,30.5,3.80E-02,31.77,65,27.89,125,13.9,3.20E-02,High
lin1,27.7,40,27.33,40,1.4,8.20E-01,36.12,25,25.15,40,43.6,6.60E-04,Low
los1,35.15,20,21.25,20,65.4,4.30E-04,31.31,145,23.09,185,35.6,3.40E-12,High
lpd1,32.15,40,22.2,40,44.8,1.00E-03,30.86,35,24.16,44,27.7,1.40E-03,High
lsb1,27.65,120,27.13,120,1.9,9.10E-01,33.43,60,25.38,85,31.7,2.60E-05,Low
ltv1,29.45,20,19.8,20,48.7,4.50E-04,33.32,25,20.4,25,63.3,1.40E-04,High
lyp1,36.15,20,27.55,20,31.2,1.90E-02,34.4,25,25.4,45,35.4,1.40E-03,High
mad3,26.6,20,23.38,40,13.8,3.40E-01,35.44,25,26.02,45,36.2,6.80E-04,Low
map2,28.55,20,21.25,20,34.4,7.10E-03,33.19,110,25.97,110,27.8,7.30E-07,High
mef2,30.7,40,27.93,40,9.9,1.50E-01,33.96,45,25.14,65,35.1,2.10E-04,Low
mep2,30.55,60,27.78,60,10,8.50E-02,30.68,65,22.52,65,36.2,3.40E-06,Low
met3,33.6,20,26.45,40,27,8.50E-03,30.86,65,26.66,65,15.8,6.20E-03,High
mig1,30.9,20,27.1,20,14,2.60E-01,25.16,50,22.43,90,12.2,4.60E-02,Low
mnn1,30.7,20,26.75,20,14.8,1.30E-01,30.47,45,26.58,45,14.6,7.90E-02,Low
mnn2,29.85,100,26.31,140,13.5,2.80E-03,32.96,25,26.69,45,23.5,3.10E-02,High
mpd1,34.45,20,19.8,20,74,1.40E-04,32,25,19.76,25,61.9,1.80E-03,High
mrpl33,34.5,20,29.45,20,17.1,9.70E-02,26.52,85,22.84,105,16.1,1.60E-01,Low
mrpl40,33.95,20,29.45,20,15.3,2.00E-01,32.72,25,26.16,25,25.1,9.40E-03,Low
mrpl49,31.65,20,29.45,20,7.5,8.20E-01,37.12,25,26.64,25,39.3,3.40E-03,Low
mrt4,39.95,20,26.45,40,51,4.00E-06,37.08,25,26.08,25,42.2,3.90E-03,High
msk1,29.8,80,26.7,100,11.6,3.30E-02,27.44,45,25.78,45,6.5,3.60E-01,Low
msw1,30.15,20,21.25,20,41.9,1.10E-02,34,45,28.6,45,18.9,2.80E-02,High
mtc2,28,20,23.38,40,19.8,2.00E-01,35.2,5,25.2,5,39.7,7.90E-03,Low
mtc4,29.33,100,28.46,140,3,5.90E-01,32.98,49,25.72,130,28.2,6.20E-05,Low
mub1,37.97,180,28.21,198,34.6,6.40E-15,32.18,325,24.56,365,31,1.90E-14,High
ncs2,34,20,27.1,20,25.5,4.50E-02,33.09,45,27.36,45,21,1.40E-03,High
opi3,28.82,60,26.77,60,7.7,1.80E-01,34.6,20,26,25,33.1,6.00E-03,Low
paf1,37.65,20,31.45,40,19.7,1.80E-02,31.42,45,26.66,65,17.9,7.70E-02,Low
pet130,36.75,20,28.35,20,29.6,4.50E-02,37.52,25,26.71,45,40.5,3.40E-04,High
pex19,29.43,60,27.71,80,6.2,3.30E-01,33.75,64,26.63,65,26.7,6.20E-04,Low
pgm2,29.8,60,28.93,60,3,7.40E-01,32.66,65,25.66,65,27.3,5.50E-05,Low
pho87,29.88,40,25.33,40,18,3.60E-02,33.88,25,26.16,45,29.5,1.90E-02,High
pib1,28.3,120,28.25,140,0.2,8.60E-01,32.32,245,28.07,244,15.2,1.60E-04,Low
pkh2,34.27,60,29.95,80,14.4,2.00E-02,30.33,205,24.28,222,24.9,6.60E-10,High
pmc1,30.44,120,28.01,100,8.7,7.60E-02,30.75,150,25.11,150,22.5,4.40E-07,Low
pml39,30.6,20,26.1,20,17.2,5.80E-02,28.04,25,24.4,25,14.9,1.70E-01,Low
pmt1,33.03,40,26.35,60,25.3,2.70E-03,36.91,45,24.71,45,49.4,5.50E-06,High
pmt3,31.45,40,24.33,60,29.2,8.80E-04,32.27,45,25.91,65,24.5,6.20E-03,High
pmt5,27.82,60,24.33,60,14.3,3.70E-02,32.08,25,23.64,25,35.7,4.00E-03,High
poc4,33.75,20,25.15,40,34.2,2.30E-05,33.4,25,27.31,45,22.3,4.80E-03,High
psp2,34.53,40,23.08,40,49.6,1.70E-05,27.17,30,23.33,30,16.4,2.60E-01,Low
rad34,29.7,20,21.25,20,39.8,3.80E-03,34.36,25,29.48,25,16.6,4.30E-01,Low
rai1,35.1,20,26.05,20,34.7,3.90E-03,35.48,25,21.52,25,64.9,1.70E-05,High
rds1,28.3,20,28.18,40,0.4,7.70E-01,29.06,263,25.29,185,14.9,8.80E-05,Low
rec8,30.65,40,25.42,60,20.6,5.60E-03,32.04,25,27.49,45,16.6,2.50E-02,High
rei1,36.53,40,24.83,40,47.1,9.80E-06,38.4,110,28.92,130,32.8,1.50E-07,High
rfx1,27.96,220,27.5,200,1.7,4.80E-01,28.08,65,23.41,85,19.9,5.00E-04,Low
rim1,33.94,100,28.58,160,18.8,3.10E-04,28.95,65,25.47,85,13.7,2.30E-02,High
rit1,38.75,20,27.55,20,40.7,4.10E-03,31.84,25,21.32,25,49.3,6.50E-04,High
rmt2,28.45,20,27.1,20,5,5.80E-01,31.51,45,25.38,45,24.2,1.30E-02,Low
rom2,31.22,60,27.75,80,12.5,2.20E-02,34.67,60,22.29,90,55.5,5.70E-11,High
rph1,34.48,60,30.22,60,14.1,2.70E-02,38.64,25,25.27,45,52.9,2.90E-05,High
rpl12a,27.6,20,25.7,20,7.4,5.60E-01,30.89,64,25.54,79,20.9,5.10E-03,Low
rpl12b,no remade strain MATa data,,,,,,33.8,82,27.8,82,21.6,2.20E-03,Low
rpl13a,37.25,20,23.15,20,60.9,2.30E-04,34.37,165,25.66,199,34,4.40E-12,High
rpl13b,no remade strain MATa data,,,,,,34.7,82,25.4,93,36.6,1.20E-07,Low
rpl16b,36.3,20,28.63,40,26.8,3.40E-03,34.52,42,28.6,42,20.7,3.20E-02,High
rpl19a,33.7,40,27.88,40,20.9,3.50E-02,34.52,85,25.81,99,33.7,5.90E-08,High
rpl19b,30.05,60,27.6,60,8.9,3.30E-01,33.23,160,28.11,234,18.2,1.60E-05,Low
rpl1b,26,20,25.7,20,1.2,9.80E-01,32.71,65,24.95,79,31.1,2.80E-04,Low
rpl20a,no remade strain MATa data,,,,,,35.8,80,24.8,120,44.4,3.40E-08,Low
rpl20b,33.91,138,28.14,140,20.5,5.20E-05,36.65,1360,26.87,1299,36.4,<1E-13,High
rpl21b,35.37,60,25.45,60,39,9.10E-06,37.68,125,24.39,145,54.5,<1E-13,High
rpl22a,39.78,80,26,80,53,1.90E-11,35.75,305,26.57,304,34.6,<1E-13,High
rpl23a,31.2,40,22.2,40,40.5,8.50E-05,35.28,90,27.55,94,28,1.70E-05,High
rpl26a,29.5,20,27.1,20,8.9,5.10E-01,31.86,80,25.54,99,24.8,1.40E-03,Low
rpl29,30.08,40,22.2,40,35.5,2.70E-03,33.23,70,25.59,74,29.8,8.70E-05,High
rpl2b,no remade strain MATa data,,,,,,34.3,80,24.8,100,38.3,6.90E-09,Low
rpl31a,35.86,159,26.92,200,33.2,1.00E-11,34.64,769,26.79,798,29.3,<1E-13,High
rpl34a,no remade strain MATa data,,,,,,34.2,40,26.85,40,27.4,3.80E-03,Low
rpl34b,36.6,20,23.15,20,58.1,1.40E-02,38.1,80,26.2,82,45.4,7.60E-11,High
rpl35a,no remade strain MATa data,,,,,,35.03,80,24.8,120,41.2,5.20E-10,Low
rpl37b,29.66,80,24.35,80,21.8,3.70E-03,30.31,80,23.09,104,31.3,2.40E-06,High
rpl43b,29.5,40,22.2,40,32.9,4.60E-04,34.37,65,25.2,79,36.4,1.60E-05,High
rpl6a,no remade strain MATa data,,,,,,35.5,100,24.8,100,43.1,2.60E-10,Low
rpl6b,33.88,80,29.08,60,16.5,7.40E-03,30.85,285,26.45,374,16.6,2.10E-07,High
rpl7a,26.5,40,22.6,40,17.3,2.90E-02,33.8,132,26.9,168,25.7,7.00E-09,High
rpl9a,28.62,60,23.92,60,19.7,5.00E-03,32.78,125,25.08,159,30.7,6.70E-08,High
rpp1a,no remade strain MATa data,,,,,,37.38,42,28.6,42,30.7,1.70E-03,Low
rpp1b,32.28,40,28.4,80,13.6,8.50E-03,33.92,25,24.41,39,39,4.90E-04,High
rpp2a,23.98,60,22.15,60,8.3,4.10E-01,30.51,35,24.15,39,26.3,1.30E-02,Low
rpp2b,33.55,20,23.15,20,44.9,7.40E-03,35.6,35,23.23,39,53.2,4.70E-04,High
rps12,32.5,20,21.25,20,52.9,8.10E-05,32.72,25,25.86,35,26.5,3.40E-02,High
rps6a,29.68,120,28.74,120,3.3,7.30E-01,31.31,35,23.4,55,33.8,6.00E-04,Low
rrd2,32.38,40,20.98,40,54.4,2.50E-05,40.91,45,34.44,45,18.8,4.80E-02,High
rts1,39.25,20,28.95,40,35.6,4.50E-03,36.52,25,25.76,45,41.8,4.10E-03,High
sam1,33.93,40,29.62,60,14.5,1.90E-02,33.04,165,24.63,221,34.1,2.40E-11,High
sap155,35.2,40,30.03,40,17.2,1.70E-02,36.88,130,29.11,140,26.7,5.00E-07,High
sap185,36.08,40,26.2,40,37.7,1.80E-04,32.27,84,27.91,85,15.7,4.40E-02,High
sas2,30.32,99,29.56,140,2.6,6.00E-01,32.3,263,28.11,285,14.9,1.60E-05,Low
sas3,30,20,23.38,40,28.3,4.30E-02,27.89,70,23.92,90,16.6,8.00E-03,High
sch9,35.62,60,29.99,80,18.8,2.00E-03,35.96,1940,26.83,1948,34,<1E-13,High
scw4,28.3,20,26.05,20,8.6,6.10E-01,27.4,25,20.64,25,32.8,1.40E-02,Low
sdh1,31.1,20,27.1,20,14.8,1.80E-01,33.49,45,25.87,45,29.5,4.60E-03,Low
sdh2,28.1,20,27.1,20,3.7,7.60E-01,33.87,45,26.22,45,29.2,2.40E-03,Low
sds3,35.67,60,28.38,60,25.7,1.80E-04,35.52,25,25.4,45,39.8,2.00E-05,High
sgf11,37.98,40,28.35,20,34,6.60E-03,36.01,85,29.54,85,21.9,9.70E-04,High
sgf73,35.48,180,28.21,180,25.8,4.40E-08,42.17,708,25.93,750,62.6,<1E-13,High
sis2,35.97,60,28.62,60,25.7,7.80E-03,36.22,100,24.25,125,49.4,2.30E-13,High
skp2,30.57,100,27.93,120,9.4,9.70E-02,30.17,145,27.9,165,8.1,1.30E-02,Low
smy2,30.2,20,25.83,40,16.9,8.50E-02,31.32,25,26.73,45,17.2,5.50E-02,Low
sok1,35.96,220,29.87,240,20.4,3.70E-09,37.38,764,27.74,803,34.8,<1E-13,High
sov1,30.67,60,28.5,80,7.6,3.30E-01,33.15,20,22.96,25,44.4,1.90E-03,Low
sps1,33.9,80,30.91,80,9.7,1.50E-01,31.49,45,25.44,45,23.8,8.70E-03,Low
spt23,30,20,24.13,40,24.4,4.50E-02,26.6,25,24.69,45,7.7,2.60E-01,Low
spt4,42.1,40,29.62,60,42.1,1.50E-07,38.68,185,27.51,185,40.6,<1E-13,High
spt8,30.43,40,28.35,20,7.3,5.00E-01,31.85,125,29.05,125,9.6,5.20E-02,Low
ssf1,27.43,40,27.33,40,0.4,1.00E+00,39.93,45,23.07,160,73.1,1.20E-09,Low
suv3,33.8,60,29.73,80,13.7,1.40E-02,33.84,45,25.51,45,32.7,7.60E-05,High
syh1,29.98,40,27.08,60,10.7,9.60E-02,30.73,45,26.19,85,17.4,2.30E-02,Low
tat2,31.05,40,25.42,60,22.2,2.30E-02,37.36,25,27.64,45,35.1,6.00E-05,High
tif1,27.64,180,25.8,180,7.1,9.10E-02,28.66,235,24.8,314,15.6,1.70E-05,Low
tif2,28.62,100,26.53,120,7.9,1.90E-01,32.44,220,26.45,284,22.6,6.70E-10,Low
tif4631,33.07,100,27.03,100,22.3,2.70E-04,28.92,155,24.47,178,18.2,2.50E-04,High
tip41,28,20,22.05,20,27,3.30E-02,35.64,25,25.76,25,38.4,9.60E-03,High
tis11,32.82,60,28.32,60,15.9,2.70E-02,31.75,100,24.99,125,27,7.30E-06,High
tma19,37.37,60,30.04,80,24.4,1.60E-03,33.38,45,26.11,65,27.8,1.70E-03,High
tom1,31.19,140,28.1,200,11,2.60E-02,32.73,205,26.52,204,23.4,4.00E-08,High
tor1,32.14,200,28.35,200,13.4,7.10E-05,32.8,2224,25.92,2327,26.5,<1E-13,High
